en_type_abbr,en_type,en_cui,en,en_zh
aapp;gngm;imft,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor",C1522221|6346,Recombinant I-309|CCL1,重组i-309 | ccl1
aapp;gngm;imft,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor",C1522525,Hanganutziu-Deicher Antibodies,hanganutziu deicher抗体
aapp;gngm;imft,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor",C1522544|1438,"CSF2RA protein, human|CSF2RA",csf2ra蛋白，人| csf2ra
aapp;gngm;imft,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor",C1522550,Recombinant Interleukin-10,重组白细胞介素-10
aapp;gngm;imft,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor",C1522569,Recombinant Interleukin-15,重组白细胞介素-15
aapp;gngm;imft,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor",C1522669,Recombinant Tumor Necrosis Factor-Alpha,重组肿瘤坏死因子-α
aapp;gngm;imft,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor",C1524115,Recombinant Interleukin-12,重组白细胞介素-12
aapp;gngm;imft,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor",C1525410,CYCLIC CITRULLINATED PEPTIDE ANTIBODY,环瓜氨酸肽抗体
aapp;gngm;imft,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor",C1527127,Recombinant Interleukin-18,重组白细胞介素-18
aapp;gngm;imft,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor",C1527131,Recombinant Interleukin-5,重组白细胞介素-5
aapp;gngm;imft,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor",C1527134,Recombinant Interleukin-7,重组白细胞介素-7
aapp;gngm;imft,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor",C1534911,N NOS,n号
aapp;gngm;imft,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor",C1535257,M NOS,号
aapp;gngm;imft,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor",C1566219|9235,"IL32 protein, human|IL32",il32蛋白质，人类| il32
aapp;gngm;imft,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor",C1579758,Toll-Like Receptor 7,toll样受体7
aapp;gngm;imft,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor",C1608540|7293,"TNFRSF4 protein, human|TNFRSF4",TNFRSF4蛋白，人| TNFRSF4
aapp;gngm;imft,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor",C1609938,vascular addressins,血管地址
aapp;gngm;imft,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor",C1610033,"Interferon Alpha, Human",干扰素α，人类
aapp;gngm;imft,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor",C1610033|3439,"Interferon Alpha, Human|IFNA1",干扰素α，人类| ifna1
aapp;gngm;imft,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor",C1610534|1043,CD52 antigen|CD52,cd52抗原| cd52
aapp;gngm;imft,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor",C1619635,CD71 antigen,cd71抗原
aapp;gngm;imft,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor",C1619635|7037,CD71 antigen|TFRC,cd71抗原| tfrc
aapp;gngm;imft,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor",C1624602,Anti-Antibodies,抗抗体
aapp;gngm;imft,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor",C1706289,Interleukin-27,白细胞介素-27
aapp;gngm;imft,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor",C1706415|3563,Interleukin-3 Receptor alpha Subunit|IL3RA,白细胞介素-3受体α亚基| il3ra
aapp;gngm;imft,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor",C2350360|1493,"CTLA4 protein, human|CTLA4",ctla4蛋白，人| ctla4
aapp;gngm;imft,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor",C2744535|969,"CD69 protein, human|CD69",cd69蛋白，人| cd69
aapp;gngm;imft,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor",C2985546,"Antibodies, Monoclonal, Humanized",抗体，单克隆，人源化
aapp;gngm;imft,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor",C2986635,Programmed Cell Death Protein 1,程序性细胞死亡蛋白1
aapp;gngm;imft,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor",C3825076,Complement inhibition,补体抑制
aapp;gngm;imft,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor",C3849701|3606,"interleukin 18 protein, human|IL18",白细胞介素18蛋白，人| il18
aapp;gngm;imft,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor",C3887583|959,"CD40 Ligand, human|CD40LG",cd40配体，人类| cd40lg
aapp;gngm;imft,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor",C3887681|931|54474,"Human B-Lymphocyte Antigen CD20, human|MS4A1|KRT20",人b淋巴细胞抗原cd20，人| ms4a1 | krt20
aapp;gngm;imft,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor",C3891557|931|54474,Anti-CD20 Antibody|MS4A1|KRT20,抗cd20抗体| ms4a1 | krt20
aapp;gngm;imft,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor",C3891558,Anti-CD3 Antibody,抗cd3抗体
aapp;gngm;imft,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor",C4038479,HLA class I,hla i类
aapp;gngm;imft,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor",C4039583,Chimeric antigen receptor,嵌合抗原受体
aapp;gngm;imft,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor",C4049595|3107,HLA Complex|HLA-C,hla复合物| hla-c
aapp;gngm;imft,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor",C4082587|972,"HLA Class II Histocompatibility Antigen Gamma Chain, human|CD74",hla ii类组织相容性抗原γ链，人类| cd74
aapp;gngm;imft,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor",C4086584,Minibody,微抗体
aapp;gngm;imft,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor",C4281719|6279,Protein S100-A8|S100A8,蛋白质s100-a8 | s100a8
aapp;gngm;imft,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor",C4281724|6280,Protein S100-A9|S100A9,蛋白质s100-a9 | s100a9
aapp;gngm;imft,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor",C4281803|943,"Tumor Necrosis Factor Receptor Superfamily Member 8, human|TNFRSF8",肿瘤坏死因子受体超家族成员8，人类| tnfrsf8
aapp;gngm;imft,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor",C4281805|940,"T-Cell-Specific Surface Glycoprotein CD28, human|CD28",t细胞特异性表面糖蛋白cd28，人| cd28
aapp;gngm;imft,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor",C4505301,Anti-Citrullinated Protein Antibodies,抗瓜氨酸化蛋白抗体
aapp;gngm;imft,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor",C5203674,Antibody to SARS-CoV-2,sars-cov-2抗体
aapp;gngm;imft,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor",C5397186,SARS-CoV-2 IgG,sars-cov-2 igg抗体
aapp;gngm;imft;irda,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Indicator, Reagent, or Diagnostic Aid",C0031858,Phytohemagglutinins,植物血凝素
aapp;gngm;imft;irda,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Indicator, Reagent, or Diagnostic Aid",C0031858|3930,Phytohemagglutinins|LBR,植物血凝素| lbr
aapp;gngm;imft;irda,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Indicator, Reagent, or Diagnostic Aid",C0034131,Purified Protein Derivative of Tuberculin,结核菌素的纯化蛋白衍生物
aapp;gngm;imft;irda,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Indicator, Reagent, or Diagnostic Aid",C0038164,Staphylococcal Protein A,葡萄球菌蛋白a
aapp;gngm;imft;irda,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Indicator, Reagent, or Diagnostic Aid",C0041289,Tuberculin,结核菌素
aapp;gngm;imft;irda,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Indicator, Reagent, or Diagnostic Aid",C0043141,Wheat Germ Agglutinins,小麦胚芽凝集素
aapp;gngm;imft;irda,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Indicator, Reagent, or Diagnostic Aid",C0208804,Ki-67 Antigen,Ki-67抗原
aapp;gngm;imft;irda,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Indicator, Reagent, or Diagnostic Aid",C0208804|4288|9780|57534,Ki-67 Antigen|MKI67|PIEZO1|MIB1,Ki-67抗原| MKI67 | 1 | MIB1
aapp;gngm;imft;irda,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Indicator, Reagent, or Diagnostic Aid",C0282682,"Antibodies, Blocking",抗体，阻断
aapp;gngm;imft;orch,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Organic Chemical",C0041361,Tumor Antigens,肿瘤抗原
aapp;gngm;imft;orch;phsu,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Organic Chemical;Pharmacologic Substance",C0012551,Diphtheria Toxoid,白喉类毒素
aapp;gngm;imft;orch;phsu,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Organic Chemical;Pharmacologic Substance",C0031237,Pertussis Vaccine,百日咳疫苗
aapp;gngm;imft;orch;phsu,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Organic Chemical;Pharmacologic Substance",C0062527,Hepatitis B Vaccines,乙型肝炎疫苗
aapp;gngm;imft;orch;phsu,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Organic Chemical;Pharmacologic Substance",C0065828,Measles-Mumps-Rubella Vaccine,麻疹-腮腺炎-风疹疫苗
aapp;gngm;imft;orch;phsu,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Organic Chemical;Pharmacologic Substance",C0383429,alemtuzumab,阿仑珠单抗
aapp;gngm;imft;orch;phsu,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Organic Chemical;Pharmacologic Substance",C0391001,peginterferon alfa-2a,培干扰素α-2a
aapp;gngm;imft;orch;phsu,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Organic Chemical;Pharmacologic Substance",C0982327,PEGINTERFERON,聚乙二醇干扰素
aapp;gngm;imft;orch;phsu,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Organic Chemical;Pharmacologic Substance",C1328709,siplizumab,西普利珠单抗
aapp;gngm;imft;phsu,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Pharmacologic Substance",C0001060,Acetylmuramyl-Alanyl-Isoglutamine,乙酰胞壁酰-丙氨酰-异谷氨酰胺
aapp;gngm;imft;phsu,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Pharmacologic Substance",C0002199,Interferon-alpha,干扰素α
aapp;gngm;imft;phsu,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Pharmacologic Substance",C0002199|3439,Interferon-alpha|IFNA1,干扰素α| ifna1
aapp;gngm;imft;phsu,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Pharmacologic Substance",C0003241,Antibodies,抗体
aapp;gngm;imft;phsu,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Pharmacologic Substance",C0003370,Antilymphocyte Globulin,抗淋巴细胞球蛋白
aapp;gngm;imft;phsu,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Pharmacologic Substance",C0003442,Antithymoglobulin,抗胸腺球蛋白
aapp;gngm;imft;phsu,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Pharmacologic Substance",C0003450,Antivenins,抗蛇毒素类
aapp;gngm;imft;phsu,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Pharmacologic Substance",C0004886,BCG Vaccine,卡介苗
aapp;gngm;imft;phsu,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Pharmacologic Substance",C0005148,beta-1 Interferon,β-1干扰素
aapp;gngm;imft;phsu,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Pharmacologic Substance",C0009500,Complement 1 Inactivators,补充1灭活剂
aapp;gngm;imft;phsu,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Pharmacologic Substance",C0010594,Cyclosporins,环孢菌素
aapp;gngm;imft;phsu,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Pharmacologic Substance",C0015980,Interferon-beta,干扰素β
aapp;gngm;imft;phsu,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Pharmacologic Substance",C0015980|3439,Interferon-beta|IFNA1,干扰素β| ifna1
aapp;gngm;imft;phsu,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Pharmacologic Substance",C0019164,Hepatitis B Antibodies,乙型肝炎抗体
aapp;gngm;imft;phsu,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Pharmacologic Substance",C0019168,Hepatitis B Surface Antigens,乙型肝炎表面抗原
aapp;gngm;imft;phsu,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Pharmacologic Substance",C0020843,Immunoglobulin D,免疫球蛋白d
aapp;gngm;imft;phsu,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Pharmacologic Substance",C0020852,Immunoglobulin G,免疫球蛋白g
aapp;gngm;imft;phsu,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Pharmacologic Substance",C0020960,Immune Sera,免疫血清
aapp;gngm;imft;phsu,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Pharmacologic Substance",C0021027,Immunoglobulins,免疫球蛋白
aapp;gngm;imft;phsu,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Pharmacologic Substance",C0021084,Immunotoxins,免疫毒素
aapp;gngm;imft;phsu,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Pharmacologic Substance",C0021734,Interferon Alfa-2a,干扰素α-2a
aapp;gngm;imft;phsu,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Pharmacologic Substance",C0021734|3439,Interferon Alfa-2a|IFNA1,干扰素α-2a | ifna1
aapp;gngm;imft;phsu,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Pharmacologic Substance",C0021735,Interferon Alfa-2b,干扰素α-2b
aapp;gngm;imft;phsu,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Pharmacologic Substance",C0021735|3439,Interferon Alfa-2b|IFNA1,干扰素α-2b | ifna1
aapp;gngm;imft;phsu,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Pharmacologic Substance",C0021740,Recombinant Interferon-gamma,重组干扰素γ
aapp;gngm;imft;phsu,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Pharmacologic Substance",C0021740|3458,Recombinant Interferon-gamma|IFNG,重组干扰素γ| ifng
aapp;gngm;imft;phsu,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Pharmacologic Substance",C0021741,Interferon gamma-1b,干扰素γ-1b
aapp;gngm;imft;phsu,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Pharmacologic Substance",C0021743,Interferon Type I,i型干扰素
aapp;gngm;imft;phsu,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Pharmacologic Substance",C0021745,Interferon Type II,干扰素ii型
aapp;gngm;imft;phsu,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Pharmacologic Substance",C0021745|3458,Interferon Type II|IFNG,干扰素ii型| ifng
aapp;gngm;imft;phsu,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Pharmacologic Substance",C0021747,Interferons,干扰素
aapp;gngm;imft;phsu,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Pharmacologic Substance",C0021753,Interleukin-1 beta,白细胞介素-1β
aapp;gngm;imft;phsu,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Pharmacologic Substance",C0021753|3552|3553,Interleukin-1 beta|IL1A|IL1B,白细胞介素-1β| il1a | il1b
aapp;gngm;imft;phsu,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Pharmacologic Substance",C0021753|3553,Interleukin-1 beta|IL1B,白细胞介素-1β| il1b
aapp;gngm;imft;phsu,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Pharmacologic Substance",C0021757,Interleukin-3,白细胞介素-3
aapp;gngm;imft;phsu,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Pharmacologic Substance",C0021757|3562,Interleukin-3|IL3,白细胞介素-3 | il3
aapp;gngm;imft;phsu,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Pharmacologic Substance",C0021761,Interleukin-7,白细胞介素-7
aapp;gngm;imft;phsu,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Pharmacologic Substance",C0021761|3574,Interleukin-7|IL7,白细胞介素-7 | il7
aapp;gngm;imft;phsu,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Pharmacologic Substance",C0034862,"Vaccines, Recombinant",疫苗，重组
aapp;gngm;imft;phsu,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Pharmacologic Substance",C0039115,"Antigens, Synthetic",抗原，合成
aapp;gngm;imft;phsu,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Pharmacologic Substance",C0042210,Vaccines,疫苗
aapp;gngm;imft;phsu,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Pharmacologic Substance",C0042213,"Vaccines, Synthetic",疫苗，合成
aapp;gngm;imft;phsu,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Pharmacologic Substance",C0057002,cytotect,细胞检测
aapp;gngm;imft;phsu,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Pharmacologic Substance",C0057256,Defensins,防御
aapp;gngm;imft;phsu,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Pharmacologic Substance",C0062525,hepatitis B hyperimmune globulin,乙型肝炎超免疫球蛋白
aapp;gngm;imft;phsu,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Pharmacologic Substance",C0062802,HLA-A24,hla-a24
aapp;gngm;imft;phsu,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Pharmacologic Substance",C0069508,"Human Papillomavirus Type 16, E7 Protein",人类乳突病毒16型，e7蛋白
aapp;gngm;imft;phsu,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Pharmacologic Substance",C0078049,varicella-zoster immune globulin,水痘带状疱疹免疫球蛋白
aapp;gngm;imft;phsu,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Pharmacologic Substance",C0083031|3589,Interleukin-11|IL11,白细胞介素-11 | il11
aapp;gngm;imft;phsu,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Pharmacologic Substance",C0085297,"Immunoglobulins, Intravenous",免疫球蛋白，静脉注射
aapp;gngm;imft;phsu,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Pharmacologic Substance",C0085379,Muromonab-CD3,莫罗单抗-cd3
aapp;gngm;imft;phsu,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Pharmacologic Substance",C0086952,Sandoglobulin,沙粒球蛋白
aapp;gngm;imft;phsu,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Pharmacologic Substance",C0098148,5-Aminosalicylate,5-氨基水杨酸
aapp;gngm;imft;phsu,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Pharmacologic Substance",C0116078,Engerix-B,恩格丽克斯-b
aapp;gngm;imft;phsu,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Pharmacologic Substance",C0123759,Interleukin-12,白细胞介素-12
aapp;gngm;imft;phsu,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Pharmacologic Substance",C0206491,Bispecific Monoclonal Antibodies,双特异性单克隆抗体
aapp;gngm;imft;phsu,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Pharmacologic Substance",C0206492,"Antibodies, Bispecific",抗体，双特异性
aapp;gngm;imft;phsu,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Pharmacologic Substance",C0210630,Filgrastim,非格司亭
aapp;gngm;imft;phsu,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Pharmacologic Substance",C0210630|1437|3918,Filgrastim|CSF2|LAMC2,非格司亭| csf2 | lamc2
aapp;gngm;imft;phsu,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Pharmacologic Substance",C0216231,sargramostim,沙格司亭
aapp;gngm;imft;phsu,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Pharmacologic Substance",C0218986,Aldesleukin,阿地白介素
aapp;gngm;imft;phsu,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Pharmacologic Substance",C0279218,Edrecolomab,依屈洛单抗
aapp;gngm;imft;phsu,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Pharmacologic Substance",C0280031,monoclonal antibody T101,单克隆抗体t101
aapp;gngm;imft;phsu,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Pharmacologic Substance",C0280849,monoclonal antibody 3F8,单克隆抗体3f8
aapp;gngm;imft;phsu,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Pharmacologic Substance",C0281345,monoclonal antibody CC49,单克隆抗体cc49
aapp;gngm;imft;phsu,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Pharmacologic Substance",C0281581,monoclonal antibody ch14.18,单克隆抗体ch14.18
aapp;gngm;imft;phsu,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Pharmacologic Substance",C0281736|4096,MDX-H210|MAFD2,mdx-h210 | mafd2
aapp;gngm;imft;phsu,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Pharmacologic Substance",C0288672,abciximab,阿昔单抗
aapp;gngm;imft;phsu,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Pharmacologic Substance",C0299555,polyvalent melanoma cell vaccine,多价黑素瘤细胞疫苗
aapp;gngm;imft;phsu,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Pharmacologic Substance",C0301503,"rabies immune globulin, human",狂犬病免疫球蛋白，人类
aapp;gngm;imft;phsu,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Pharmacologic Substance",C0301503|6209|27122|148252,"rabies immune globulin, human|RPS15|DKK3|DIRAS1",狂犬病免疫球蛋白，人类| rps15 | dkk3 | diras1
aapp;gngm;imft;phsu,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Pharmacologic Substance",C0301521,Therapeutic vaccine,治疗性疫苗
aapp;gngm;imft;phsu,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Pharmacologic Substance",C0305052,Gamma globulin serum,丙种球蛋白血清
aapp;gngm;imft;phsu,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Pharmacologic Substance",C0310740,Fowl pox vaccine,禽痘疫苗
aapp;gngm;imft;phsu,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Pharmacologic Substance",C0310744,Marek Disease Vaccines,马立克病疫苗
aapp;gngm;imft;phsu,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Pharmacologic Substance",C0310751,Newcastle disease vaccine,新城疫疫苗
aapp;gngm;imft;phsu,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Pharmacologic Substance",C0312631,Antibody to hepatitis B core antigen,乙型肝炎核心抗原抗体
aapp;gngm;imft;phsu,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Pharmacologic Substance",C0312631|85348,Antibody to hepatitis B core antigen|KRT88P,乙型肝炎核心抗原抗体| krt88p
aapp;gngm;imft;phsu,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Pharmacologic Substance",C0338204,Herceptin,赫赛汀
aapp;gngm;imft;phsu,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Pharmacologic Substance",C0358321,Human immunoglobulin,人免疫球蛋白
aapp;gngm;imft;phsu,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Pharmacologic Substance",C0358334,Specific immunoglobulins,特异性免疫球蛋白
aapp;gngm;imft;phsu,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Pharmacologic Substance",C0359163,Horse antihuman thymocyte gamma globulin,马抗人胸腺细胞γ球蛋白
aapp;gngm;imft;phsu,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Pharmacologic Substance",C0359168,Mouse monoclonal antibody,小鼠单克隆抗体
aapp;gngm;imft;phsu,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Pharmacologic Substance",C0376561,Recombinant Colony-Stimulating Factors,重组集落刺激因子
aapp;gngm;imft;phsu,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Pharmacologic Substance",C0376562,Recombinant Granulocyte Colony Stimulating Factor,重组粒细胞集落刺激因子
aapp;gngm;imft;phsu,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Pharmacologic Substance",C0376659,Cancer Vaccines,癌症疫苗
aapp;gngm;imft;phsu,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Pharmacologic Substance",C0385723,Melan-A protein,melan-a蛋白质
aapp;gngm;imft;phsu,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Pharmacologic Substance",C0385723|2315|388015,Melan-A protein|MLANA|RTL1,melan-a蛋白| mlana | rtl1
aapp;gngm;imft;phsu,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Pharmacologic Substance",C0393022,rituximab,利妥昔单抗
aapp;gngm;imft;phsu,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Pharmacologic Substance",C0393022|931|54474,rituximab|MS4A1|KRT20,利妥昔单抗| ms4a1 | krt20
aapp;gngm;imft;phsu,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Pharmacologic Substance",C0537670,Oprelvekin,奥普瑞白介素
aapp;gngm;imft;phsu,"Amino Acid, Peptide, or Protein;Gene or Genome;Immunologic Factor;Pharmacologic Substance",C0600251,Interleukin-1 alpha,白细胞介素-1α
